City,Country,Max Temperature,Humidity,Wind Speed,Cloudiness,Longitude,Latitude
lufilufi,ws,83.71040000000002,100,2.75,80,-171.6,-13.87
faanui,pf,80.29039999999995,100,6.6,64,-151.75,-16.48
atuona,pf,80.4704,100,8.35,20,-139.03,-9.8
san patricio,mx,73.00040000000004,99,0.85,12,-104.7,19.22
coahuayana,mx,64.18039999999998,95,1.05,80,-100.35,18.62
lazaro cardenas,mx,73.63039999999998,34,1.8,24,-105.62,28.39
ixtapa,mx,80.86999999999996,88,1.5,75,-105.21,20.71
puerto ayora,ec,70.93039999999998,100,3.3,76,-90.35,-0.74
san cristobal,ec,58.330399999999976,95,0.6,64,-79.44,-1.02
manta,ec,73.66999999999996,83,2.6,75,-80.73,-0.95
bahia de caraquez,ec,73.66999999999996,83,2.6,75,-80.42,-0.6
pedernales,ec,71.29039999999995,92,2.4,56,-80.05,0.07
santo domingo,ec,71.86999999999996,78,5.1,75,-80.3,-2.48
cayambe,ec,45.82039999999999,97,0.5,44,-78.14,0.04
nueva loja,ec,70.03039999999999,97,1,92,-76.88,0.08
puerto asis,co,70.21040000000002,100,1.05,80,-76.5,0.51
puerto leguizamo,co,70.48039999999997,100,1,48,-74.78,-0.19
miraflores,co,51.040399999999956,100,0.25,80,-73.14,5.2
mitu,co,73.81040000000002,94,0.7,80,-70.17,1.2
sao gabriel da cachoeira,br,71.74039999999997,96,0.95,44,-67.09,-0.13
santa isabel do rio negro,br,71.74039999999997,100,1.1,48,-65.02,-0.41
barcelos,br,69.58039999999997,99,1.15,0,-62.93,-0.97
boa vista,br,72.01040000000002,98,1.3,0,-60.67,2.82
urucara,br,73.18039999999998,98,1,0,-57.76,-2.54
oriximina,br,73.2704,99,1.4,8,-55.87,-1.77
alenquer,br,73.66999999999996,100,1.75,0,-54.74,-1.95
prainha,br,74.26040000000002,98,1.65,0,-53.48,-1.8
almeirim,br,75.0704,97,1.6,0,-52.58,-1.53
mazagao,br,75.46999999999997,100,1.5,20,-51.29,-0.12
macapa,br,75.46999999999997,100,1.5,20,-51.07,0.05
soure,br,80.4704,89,3.55,8,-48.52,-0.72
curuca,br,73.63039999999998,100,1.55,24,-61.06,-2.52
salinopolis,br,81.37039999999999,97,5.7,24,-47.36,-0.61
viseu,br,78.85040000000004,86,3.4,8,-46.14,-1.2
carutapera,br,78.85040000000004,86,3.4,8,-46.02,-1.2
cururupu,br,76.06040000000002,90,2.75,0,-44.87,-1.82
tutoia,br,79.03039999999999,81,4.6,36,-42.27,-2.76
camocim,br,77.05040000000004,81,5.55,0,-40.84,-2.9
itarema,br,77.05040000000004,85,5.4,0,-39.92,-2.92
paracuru,br,75.46999999999997,78,3.6,0,-39.03,-3.41
caucaia,br,75.46999999999997,78,3.6,0,-38.66,-3.73
aquiraz,br,75.46999999999997,78,3.6,0,-38.39,-3.9
touros,br,75.79039999999995,97,5.65,88,-35.46,-5.2
georgetown,sh,78.04039999999995,100,8.55,0,-14.42,-7.93
monrovia,lr,73.66999999999996,100,1.85,90,-10.8,6.33
buchanan,lr,73.66999999999996,100,0.6,90,-10.05,5.88
harper,lr,79.30040000000004,100,3.05,80,-7.71,4.38
tabou,ci,78.40040000000005,100,3.15,56,-7.36,4.42
axim,gh,76.33039999999997,100,3.2,68,-2.24,4.87
takoradi,gh,75.43039999999998,99,2.3,44,-1.75,4.89
mumford,gh,73.63039999999998,94,3.1,56,-0.76,5.26
anloga,gh,75.46999999999997,94,3.1,40,0.9,5.79
port-gentil,ga,73.66999999999996,94,2.1,90,8.78,-0.72
libreville,ga,75.46999999999997,88,4.1,20,9.45,0.39
kango,ga,72.28039999999999,98,1.35,88,10.1,0.19
ndjole,ga,71.83039999999997,97,1.65,92,10.76,-0.18
booue,ga,72.01040000000002,97,1.1,80,11.94,-0.09
makokou,ga,71.74039999999997,97,1.1,80,12.85,0.56
ewo,cg,71.20040000000003,93,0.95,56,14.81,-0.88
owando,cg,70.39039999999996,97,1.4,68,15.91,-0.49
mbandaka,cd,71.65040000000005,99,1.25,20,18.26,0.05
boende,cd,73.81040000000002,93,1,0,20.88,-0.28
basoko,cd,72.91040000000001,96,1.85,0,23.61,1.23
yangambi,cd,73.2704,95,1.4,8,24.47,0.77
kisangani,cd,73.45040000000003,96,1.3,0,25.21,0.52
butembo,cd,64.54039999999995,94,0.6,8,29.29,0.12
kilembe,ug,66.0704,100,0.75,20,30.01,0.2
lyantonde,ug,63.46040000000002,100,1.95,8,31.15,-0.41
lukaya,ug,65.98039999999997,89,1.95,36,31.87,-0.15
lugazi,ug,64.90040000000005,100,1.55,80,32.94,0.37
ahero,ke,65.1704,93,1.95,12,34.92,-0.17
rongai,ke,56.6204,99,1.65,88,35.86,-0.17
nanyuki,ke,55.270399999999995,100,1.4,92,37.07,0.01
maua,ke,62.4704,97,1.55,68,37.94,0.23
garissa,ke,77.7704,62,6.1,12,39.64,-0.46
jamame,so,81.64039999999996,67,4.7,68,42.75,0.07
mogadishu,so,79.21040000000002,98,8.85,48,45.34,2.04
hobyo,so,80.29039999999995,68,8.7,20,48.53,5.35
victoria,sc,82.66999999999996,78,6.2,40,55.45,-4.62
thinadhoo,mv,83.35040000000004,100,2.95,0,72.93,0.53
matara,lk,80.11040000000003,100,3.4,76,80.54,5.95
hambantota,lk,81.37039999999999,100,5.45,36,81.12,6.12
meulaboh,id,83.44039999999995,100,1.3,76,96.13,4.14
sibolga,id,78.04039999999995,82,1.05,88,98.78,1.74
payakumbuh,id,79.12039999999999,81,1.45,80,100.63,-0.23
sijunjung,id,79.03039999999999,86,1.1,68,100.95,-0.69
kijang,id,84.16040000000001,100,3.25,32,104.63,0.9
sungairaya,id,75.88039999999998,100,0.55,92,108.9,0.7
pontianak,id,80.86999999999996,88,3.6,75,109.34,-0.02
sri aman,my,77.26999999999995,94,0.5,75,111.46,1.24
kapit,my,72.19039999999995,98,1.15,100,112.94,2.02
loa janan,id,82.2704,92,1.2,44,117.09,-0.58
bontang,id,81.28039999999999,100,1.2,36,117.47,0.12
palu,id,71.56040000000002,95,0.75,88,119.87,-0.9
poso,id,80.4704,100,2.25,24,120.75,-1.4
gorontalo,id,80.4704,87,1.4,48,123.06,0.54
tondano,id,89.86999999999996,55,3.6,40,124.91,1.3
sorong,id,82.54039999999995,100,1.6,20,131.25,-0.86
manokwari,id,82.54039999999995,100,4.05,12,134.08,-0.87
biak,id,81.73039999999997,87,2,44,122.88,-0.91
vanimo,pg,81.10040000000004,100,3.25,32,141.3,-2.67
aitape,pg,80.65040000000005,99,2.2,36,142.36,-3.15
lorengau,pg,83.26040000000002,100,1.75,48,147.27,-2.02
kavieng,pg,82.63039999999998,100,1.05,68,150.8,-2.57
namatanai,pg,79.84039999999996,100,2.55,76,152.44,-3.66
kieta,pg,74.35040000000004,100,1.45,92,155.63,-6.22
buala,sb,76.87039999999999,100,1.6,64,159.59,-8.15
